,phrase,label,sentiment,subjectivity,language,count
Deutschland schnürt,Deutschland schnürt,MISC,,,de,8
iPhone 14,iPhone 14,MISC,,,de,7
Süddeutsche Zeitung,Süddeutsche Zeitung,MISC,,,de,7
G7-Treffen,G7-Treffen,MISC,,,de,7
Wagner-Soldaten,Wagner-Soldaten,MISC,,,de,7
Holodomor,Holodomor,MISC,,,de,7
EU-Kommissionspräsidentin,EU-Kommissionspräsidentin,MISC,,,de,7
Pixel-Aktionen,Pixel-Aktionen,MISC,2.033333333333333,2.6666666666666665,de,7
Prime Day,Prime Day,MISC,,,de,7
LNG-Pläne,LNG-Pläne,MISC,,,de,7
indischen,indischen,MISC,,,de,7
SMS,SMS,MISC,,,de,7
Weltklimakonferenz in Ägypten,Weltklimakonferenz in Ägypten,MISC,,,de,7
Bürgerkrieg,Bürgerkrieg,MISC,,,de,7
Nächstes Jahr,Nächstes Jahr,MISC,,,de,7
Kriege,Kriege,MISC,,,de,7
Guardian,Guardian,MISC,,,de,7
AKW-Laufzeiten,AKW-Laufzeiten,MISC,,,de,7
E-Control,E-Control,MISC,2.8,0.0,de,7
Berliner Morgenpost,Berliner Morgenpost,MISC,,,de-DE,7
Heiz-Gesetz,Heiz-Gesetz,MISC,,,de,7
russischen Militär,russischen Militär,MISC,,,de,7
dänische,dänische,MISC,,,de,7
israelischen,israelischen,MISC,,,de,7
Kriegsbedarf,Kriegsbedarf,MISC,,,de,7
Chrome,Chrome,MISC,,,de,7
sozialer,sozialer,MISC,,,de,7
EU-weite,EU-weite,MISC,,,de,7
Energiepreisbremse,Energiepreisbremse,MISC,0.7,0.0,de,7
Pixel-Produkte,Pixel-Produkte,MISC,,,de,7
demokratischen,demokratischen,MISC,,,de,7
niedersächsischen,niedersächsischen,MISC,,,de,7
sowjetischen,sowjetischen,MISC,,,de,7
Neptune,Neptune,MISC,0.19999999999999996,0.0,de,7
Gr,Gr,MISC,,,de,7
Dieses Jahr,Dieses Jahr,MISC,,,de,7
NATO-Gipfels,NATO-Gipfels,MISC,,,de,7
Pipeline-Sabotage,Pipeline-Sabotage,MISC,,,de,7
Kachowka-Damms,Kachowka-Damms,MISC,,,de,7
Virus,Virus,MISC,,,de,7
niedersächsische,niedersächsische,MISC,,,de,7
Jahr Krieg,Jahr Krieg,MISC,,,de,7
ungarische,ungarische,MISC,,,de,7
IWF-Kreditprogramm,IWF-Kreditprogramm,MISC,,,de,7
Champions League,Champions League,MISC,,,de,7
russischen Invasion in der Ukraine,russischen Invasion in der Ukraine,MISC,,,de,7
russischen Kriegs,russischen Kriegs,MISC,,,de,7
Höchste Zeit,Höchste Zeit,MISC,,,de,7
BRICS-Gipfel,BRICS-Gipfel,MISC,-1.2,0.6666666666666666,de,7
westukrainischen,westukrainischen,MISC,,,de,6
japanische,japanische,MISC,,,de,6
deutschem,deutschem,MISC,,,de,6
F.A.Z.-Kongress,F.A.Z.-Kongress,MISC,,,de,6
Pipeline-Explosionen,Pipeline-Explosionen,MISC,,,de,6
argentinischen,argentinischen,MISC,,,de,6
LNG-Beschleunigungsgesetz,LNG-Beschleunigungsgesetz,MISC,,,de,6
